# temp (meV) =   25.85203
    0.6193035296E+02    0.6682119262E-03    0.2281650187E-01    0.0000000000E+00    0.2348471380E-01    0.2307176248E-03
    0.6194139532E+02    0.6658413712E-03    0.2165781992E-01    0.0000000000E+00    0.2232366129E-01    0.3556032416E-03
    0.6237996344E+02    0.7128218625E-03    0.2045930917E-01    0.0000000000E+00    0.2117213103E-01    0.5995993461E-03
    0.8388781119E+01    0.0000000000E+00    0.1158665272E-03    0.2778045819E-04    0.1436469854E-03    0.5468743382E-06
    0.8388781119E+01    0.0000000000E+00    0.1127543569E-03    0.3292087417E-04    0.1456752311E-03    0.5603425902E-05
    0.1769889727E+02    0.0000000000E+00    0.5626705857E-03    0.1743680343E-03    0.7370386200E-03    0.7307497131E-05
    0.6195763171E+02    0.6899906324E-03    0.1930841832E-01    0.0000000000E+00    0.1999840895E-01    0.6520247161E-03
    0.6203434321E+02    0.6280330492E-03    0.1991698306E-01    0.0000000000E+00    0.2054501611E-01    0.2181194018E-03
    0.6203434321E+02    0.6692208981E-03    0.1940217195E-01    0.0000000000E+00    0.2007139285E-01    0.4078873419E-04
    0.9244240335E+01    0.0000000000E+00    0.1600182338E-03    0.3470558665E-04    0.1947238205E-03    0.5647433671E-05
    0.1039222569E+02    0.0000000000E+00    0.2319911730E-03    0.4856465820E-04    0.2805558312E-03    0.1506308899E-04
    0.1972391523E+02    0.3054888144E-11    0.6624086949E-03    0.2466740732E-03    0.9090827711E-03    0.1280894775E-04
    0.6145508122E+02    0.6511603217E-03    0.2127089536E-01    0.0000000000E+00    0.2192205568E-01    0.1225677497E-02
    0.6160069472E+02    0.6436998424E-03    0.2312293812E-01    0.0000000000E+00    0.2376663796E-01    0.2175510190E-02
    0.6181192965E+02    0.6754680259E-03    0.2240322654E-01    0.0000000000E+00    0.2307869457E-01    0.2309429034E-02
    0.1029021047E+02    0.0000000000E+00    0.2659901562E-03    0.3809134584E-04    0.3040815021E-03    0.1243369854E-04
    0.1042809495E+02    0.0000000000E+00    0.1900244288E-03    0.3986541756E-04    0.2298898464E-03    0.2902375155E-05
    0.2145622713E+02    0.2035242835E-08    0.8066388885E-03    0.3018984420E-03    0.1108539366E-02    0.5212123346E-04
    0.6107452192E+02    0.6209785741E-03    0.2161112719E-01    0.0000000000E+00    0.2223210577E-01    0.1011297014E-02
    0.6129870886E+02    0.5987283816E-03    0.2245503641E-01    0.0000000000E+00    0.2305376480E-01    0.2052296670E-03
    0.6170003755E+02    0.5480270877E-03    0.2130070637E-01    0.0000000000E+00    0.2184873346E-01    0.1858767820E-02
    0.1006667362E+02    0.0000000000E+00    0.2359593618E-03    0.4005763300E-04    0.2760169948E-03    0.3072389695E-06
    0.1006667362E+02    0.0000000000E+00    0.2058157628E-03    0.4694397192E-04    0.2527597347E-03    0.3878747723E-06
    0.2306435219E+02    0.9214591128E-08    0.8417802667E-03    0.3346677682E-03    0.1176457250E-02    0.4995713092E-05
    0.6091116887E+02    0.5279562264E-03    0.2015518719E-01    0.0000000000E+00    0.2068314341E-01    0.5690527581E-03
    0.6143428810E+02    0.4812476796E-03    0.2209685828E-01    0.0000000000E+00    0.2257810595E-01    0.1084093653E-02
    0.6143428810E+02    0.5469397845E-03    0.2095979272E-01    0.0000000000E+00    0.2150673250E-01    0.3530528353E-03
    0.1082376718E+02    0.0000000000E+00    0.3011111094E-03    0.3758607327E-04    0.3386971827E-03    0.1622808249E-06
